suburbname,postcode
TANGLEWOOD,2488.0
KINCUMBER,2251.0
PHEGANS BAY,2256.0
BOX HEAD,2257.0
KILLCARE HEIGHTS,2257.0
COASTERS RETREAT,2108.0
EAST KILLARA,2071.0
CANADA BAY,2046.0
MEADOWBANK,2114.0
THE ROCKS,2000.0
DACEYVILLE,2032.0
BURWOOD HEIGHTS,2136.0
COOGEE,2034.0
PHILLIP BAY,2036.0
BEACONSFIELD,2015.0
SURRY HILLS,2010.0
ILLAWONG,2234.0
EMERTON,2770.0
TREGEAR,2770.0
GIRRAWEEN,2145.0
ALISON,2259.0
NEW BRIGHTON,2483.0
CEDAR CREEK,2484.0
DOORALONG,2259.0
LEMON TREE,2259.0
HIGHER MACDONALD,2775.0
COOKS HILL,2300.0
MAYFIELD EAST,2304.0
BAYVIEW,2104.0
CROMER,2099.0
BOLTON POINT,2283.0
WOODRISING,2284.0
HAMILTON NORTH,2292.0
ELRINGTON,2325.0
CLIFTON,2515.0
MOUNT LINDSEY,2575.0
BANGHEET,2404.0
NOWLEY,2386.0
PALLAL,2404.0
KAPUTAR,2390.0
WONGO CREEK,2346.0
BORAH CREEK,2346.0
WILLURAH,2710.0
JAGUMBA,2642.0
TOOMA,2642.0
BRAEMAR BAY,2628.0
DRY PLAIN,2630.0
NIMMO,2628.0
JUNEE REEFS,2666.0
BANGADANG,2729.0
GRAHAMSTOWN,2729.0
MOUNT WARRIGAL,2528.0
MOGOOD,2538.0
DURRAN DURRA,2622.0
BUNYAN,2630.0
BILLILINGRA,2630.0
BUMBALONG,2626.0
FORBES CREEK,2621.0
DOYALSON NORTH,2262.0
HALEKULANI,2262.0
KIKOIRA,2669.0
MONIA GAP,2675.0
OOMA,2871.0
JEREMY,2795.0
FULLERTON,2583.0
LOST RIVER,2583.0
NARRABURRA,2666.0
TUBBUL,2594.0
TAMBAROORA,2850.0
MOUNT AQUILA,2820.0
PERTHVILLE,2795.0
UPPER TURON,2795.0
PALING YARDS,2580.0
TWENTY FORESTS,2795.0
ARKSTONE,2795.0
JAUNTER,2787.0
DABEE,2849.0
PINNACLE SWAMP,2849.0
KELGOOLA,2849.0
NULLO MOUNTAIN,2849.0
UPPER GROWEE,2849.0
SUNSHINE,2264.0
MARYS MOUNT,2380.0
MEROTHERIE,2852.0
COOKS GAP,2850.0
STONY CREEK,2850.0
GINGHI,2849.0
MURRUMBO,2849.0
UPPER BYLONG,2849.0
BENDEMEER,2355.0
WINGEN,2337.0
TIMOR,2338.0
PAGES CREEK,2337.0
TOMALLA,2337.0
MERNOT,2422.0
BRETTI,2422.0
CALLAGHANS CREEK,2422.0
BULLIAC,2422.0
FORBES RIVER,2446.0
KILLABAKH,2429.0
MOORAL CREEK,2429.0
BOORGANNA,2429.0
CROWDY HEAD,2427.0
LAURIETON,2443.0
CORANGULA,2440.0
EAST KEMPSEY,2440.0
OLD STATION,2440.0
MILLBANK,2440.0
JEOGLA,2350.0
THUMB CREEK,2447.0
FORDS BRIDGE,2840.0
WILCANNIA,2836.0
CABBAGE TREE ISLAND,2477.0
GOAT ISLAND,2477.0
WHIAN WHIAN,2480.0
DORROUGHBY,2480.0
EAST LISMORE,2480.0
LOFTVILLE,2480.0
DOUBTFUL CREEK,2470.0
ETTRICK,2474.0
THERESA CREEK,2469.0
AFTERLEE,2474.0
TOONUMBAR,2474.0
BOOMI CREEK,2476.0
ROSEBERRY CREEK,2474.0
PADDYS FLAT,2469.0
WYLIE CREEK,2372.0
WOODY HEAD,2466.0
WOOLOWEYAH,2464.0
GIBBERAGEE,2469.0
DILKOON,2460.0
CALLIOPE,2462.0
BARCOONGERE,2460.0
CARRS ISLAND,2460.0
WONGWIBINDA,2350.0
BROOKLANA,2450.0
GLOUCESTER TOPS,2422.0
SEAL ROCKS,2423.0
LAKE HIAWATHA,2462.0
CLARENCE,2790.0
OAKEY PARK,2790.0
DUCKMALOI,2787.0
COMOBELLA,2820.0
BURNT YARDS,2792.0
CAMBOON,2849.0
GILLENBAH,2700.0
FINLEY,2713.0
MAIRJIMMY,2716.0
RAND,2642.0
REDLANDS,2646.0
PLEASANT HILLS,2658.0
BURRANDANA,2650.0
MAXWELL,2650.0
WESTWOOD,2729.0
RANNOCK,2701.0
QUIDONG,2632.0
BOCO,2631.0
GREENLANDS,2631.0
REEDY SWAMP,2550.0
BERRAMBOOL,2548.0
NELSON,2550.0
WALLAGA LAKE,2546.0
MYSTERY BAY,2546.0
DALMENY,2546.0
MORUYA,2537.0
BROULEE,2537.0
LARBERT,2622.0
GUNNING,2581.0
IRVINGTON,2470.0
BINGEEBEEBRA CREEK,2469.0
LOWER BOTTLE CREEK,2469.0
SIMPKINS CREEK,2469.0
PAGANS FLAT,2469.0
BORA RIDGE,2471.0
BINGLEBURRA,2311.0
MOUNT RIVERS,2311.0
LITTLE TOPAR,2880.0
SANDY CREEK,2835.0
NOONA,2835.0
NIEMUR,2733.0
CANBELEGO,2835.0
PANGEE,2825.0
BOORGA,2652.0
